,x,y,length,width,area
207,575,384,1,1,1
208,1313,385,1,1,1
209,422,387,1,1,1
210,704,387,1,1,1
211,1001,387,1,1,1
212,1094,386,1,1,1
213,1096,386,1,1,1
214,467,388,1,1,1
215,471,389,1,1,1
216,675,388,1,1,1
217,723,388,1,1,1
218,1020,389,1,1,1
219,1283,388,1,1,1
220,1287,388,1,1,1
221,1249,391,3,2,4
222,481,392,2,1,2
223,506,392,1,1,1
224,537,395,2,1,2
225,1200,394,4,2,7
226,1211,395,3,1,3
